Format,Catalog,ScientificName,CommonName,Male,Female,Adult,Immature,Call,Song,Mechanical,Behaviors,Environmental,FX,People/Interview,ERSubtitles,FXSubtitles,PplSubtitles,Country,State,Locality,Latitude,Longitude,Captive,RecordistLast,RecordistFirst,RecordistMiddle,Year,Month,Day,Time,Length,Quality
Audio ,89494,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Mexico,Chiapas,,16.4833333,-92.05,,Duncan,Charles,D,1992,11,25,11:10,2:16,0
Audio ,81865,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Costa Rica,Alajuela,,9.7833333,-84.6166667,,Duncan,Charles,D,1997,7,18,10:52,1:27,0
Audio ,81693,Thamnophilus doliatus , Barred Antshrike,Y,Y,,,,Y,,song,,,,,,,Colombia,Tolima,,4.07,-74.7,,Donahue,Paul,K,1986,6,7,17:00,1:00,0
Audio ,81007,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Colombia,Meta,,2.6666667,-74.1666667,,Jimenez,Ivan,,1997,6,10,00:00,2:07,0
Audio ,81002,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Colombia,Meta,,2.6666667,-74.1666667,,Jimenez,Ivan,,1997,6,10,00:00,1:59,0
Audio ,84423,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Ecuador,Pichincha,,-0.33,-79.27,,Rowlett,Rose Ann,,1984,6,18,00:00,:35,0
Audio ,70834,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Belize,Toledo,,,,,Parker,"Theodore A., III",,1992,4,4,00:00,5:28,0
Audio ,70035,Cercomacra tyrannina , Dusky Antbird,,,,,Y,Y,,call;song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,3.4166667,-59.5666667,,Parker,"Theodore A., III",,1993,2,5,00:00,1:29,0
Audio ,70029,Cercomacra tyrannina , Dusky Antbird,Y,Y,,,,Y,,duet;song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,3.4166667,-59.5666667,,Parker,"Theodore A., III",,1993,2,5,00:00,:46,0
Audio ,69564,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Ecuador,Manabí,,-1.6,-80.7,,Parker,"Theodore A., III",,1991,1,21,00:00,2:43,0
Audio ,69562,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Ecuador,Manabí,,-1.6,-80.7,,Parker,"Theodore A., III",,1991,1,21,00:00,4:14,0
Audio ,72340,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Finch,Davis,W,1994,3,9,07:00,4:11,0
Audio ,72334,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Finch,Davis,W,1994,3,7,11:20,:39,0
Audio ,68137,Cercomacra tyrannina tyrannina,,Y,Y,Y,,,Y,,duet;song,,,,,,,Venezuela,Amazonas,,5.67,-67.58,,Coopmans,Paul,,1994,1,28,07:15,2:43,0
Audio ,65974,Cercomacra tyrannina , Dusky Antbird,Y,Y,,,Y,Y,,call;duet;song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,3.3811111,-59.5058333,,Parker,"Theodore A., III",,1993,2,5,00:00,2:27,0
Audio ,64738,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Brazil,Amazonas,,,,,Zimmer,Kevin,J,1993,1,23,00:00,:55,0
Audio ,64725,Thamnophilus doliatus , Barred Antshrike,,Y,,,,Y,,counter singing;song,,,,,,,Brazil,Amazonas,,,,,Zimmer,Kevin,J,1993,1,23,00:00,:32,0
Audio ,68525,Cercomacra tyrannina , Dusky Antbird,,,Y,,,Y,,song,,,,,,,Ecuador,Pichincha,,-0.3333333,-79,,Kerr,Donald,J,1994,2,23,12:30,1:59,0
Audio ,68524,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Ecuador,Pichincha,,-0.3333333,-79,,Kerr,Donald,J,1994,2,23,12:20,3:02,0
Audio ,68523,Cercomacra tyrannina , Dusky Antbird,,,Y,,,Y,,song,,,,,,,Ecuador,Pichincha,,-0.3333333,-79,,Kerr,Donald,J,1994,2,23,12:15,:58,0
Audio ,68521,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Ecuador,Pichincha,,-0.3333333,-79,,Kerr,Donald,J,1994,2,23,11:45,1:19,0
Audio ,61097,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1967,4,22,00:00,3:24,0
Audio ,61095,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Venezuela,Aragua,,10.42,-67.28,,Schwartz,Paul,A,1963,9,4,08:00,2:57,0
Audio ,60950,Cercomacra tyrannina , Dusky Antbird,,,Y,,,Y,,song,,,,,,,Venezuela,,,6,-61.5,,Macaulay,Linda,R,1992,2,5,07:00,2:45,0
Audio ,56544,Cercomacra tyrannina , Dusky Antbird,,Y,Y,,Y,,,call,,,,,,,Costa Rica,Puntarenas,,,,,Macaulay,Linda,R,1991,12,4,11:30,:41,0
Audio ,56535,Cercomacra tyrannina , Dusky Antbird,,,Y,,,Y,,song,,,,,,,Costa Rica,Puntarenas,,,,,Macaulay,Linda,R,1991,12,4,07:55,1:25,0
Audio ,56528,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,,,,,,,,,,Costa Rica,Puntarenas,,,,,Macaulay,Linda,R,1991,12,4,07:45,3:32,0
Audio ,56526,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,,,call,,,,,,,Costa Rica,Puntarenas,,,,,Macaulay,Linda,R,1991,12,4,06:40,1:30,0
Audio ,57764,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,duet;song,,,,,,,Mexico,Chiapas,,,,,Delaney,Dale,,1986,2,21,08:30,:42,0
Audio ,57210,Taraba major , Great Antshrike,Y,,Y,,Y,,,call,,,,,,,Costa Rica,Heredia,,10.5,-84.5,,Macaulay,Linda,R,1991,12,13,06:35,1:05,0
Audio ,52504,Taraba major , Great Antshrike,,,,,Y,Y,,call;song,,,,,,,Bolivia,Santa Cruz,,-18.4,-62.02,,Parker,"Theodore A., III",,1990,6,16,00:00,5:03,0
Audio ,34463,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,,,7.97,-61.88,,Parker,"Theodore A., III",,1985,2,23,07:35,:48,0
Audio ,77965,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Finch,Davis,W,1994,12,5,07:15,1:48,3
Audio ,77966,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Finch,Davis,W,1994,12,5,10:35,2:50,4
Audio ,77995,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Finch,Davis,W,1994,12,9,06:00,1:24,2
Audio ,74089,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Costa Rica,Limón,,,,,Ross,"David L., Jr.",,1988,2,25,00:00,:29,3
Audio ,86060,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Ecuador,Napo,,-0.45,-76.28,,Wall,John,W,1992,10,20,07:00,:16,2
Audio ,84987,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,duet;song,,,,,,,Guyana,Demerara-Mahaica,,,,,Finch,Davis,W,1993,1,23,17:00,1:59,2
Audio ,84941,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Guyana,Cuyuni-Mazaruni,,,,,Finch,Davis,W,1991,1,25,12:00,2:01,2
Audio ,147355,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Peru,Cuzco [Cusco],,-12.5477778,-73.1061667,,Robbins,Mark,B,2009,4,6,05:55,1:56,2
Audio ,144821,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Mexico,Campeche,,18.2333333,-90.2,,Robbins,Mark,B,1998,3,9,09:30,:59,2
Audio ,145222,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Guyana,,,2.8166667,-59.8166667,,Robbins,Mark,B,2000,11,12,06:50,2:19,2
Audio ,144725,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Mexico,Yucatán,,21.4333333,-88.5666667,,Robbins,Mark,B,1998,2,25,00:00,1:01,2
Audio ,144686,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,duet;song,,,,,,,Guyana,,,7.3666667,-60.4833333,,Robbins,Mark,B,1997,10,3,07:00,1:16,2
Audio ,144680,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Guyana,,,7.3666667,-60.4833333,,Robbins,Mark,B,1997,9,29,05:50,:44,2
Audio ,145501,Thamnophilus doliatus , Barred Antshrike,Y,,,,,Y,,song,,,,,,,Guyana,,,8.25,-59.7333333,,Robbins,Mark,B,2002,3,22,08:15,1:06,2
Audio ,145500,Taraba major , Great Antshrike,Y,,,,,Y,,song,,,,,,,Guyana,,,8.25,-59.7333333,,Robbins,Mark,B,2002,3,22,08:00,1:38,2
Audio ,145487,Taraba major , Great Antshrike,,Y,,,Y,,,call,,,,,,,Guyana,,,8.25,-59.7333333,,Robbins,Mark,B,2002,3,20,06:50,1:17,2
Audio ,144969,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,Y,,,call,,,,,,,Guyana,,,2.3666667,-59.45,,Robbins,Mark,B,2000,3,19,07:00,1:17,2
Audio ,145426,Taraba major , Great Antshrike,Y,Y,,,,Y,,song,,,,,,,Guyana,,,8.25,-59.7333333,,Robbins,Mark,B,2002,3,15,18:00,1:17,2
Audio ,145866,Thamnophilus doliatus , Barred Antshrike,Y,Y,,,,Y,,song,,,,,,,El Salvador,La Paz,,13.3433333,-88.85,,Robbins,Mark,B,2004,4,4,06:45,2:24,2
Audio ,143717,Taraba major , Great Antshrike,,,,,Y,,,call,,,,,,,Peru,Madre de Dios,,-12.8666667,-71.3666667,,Zyskowski,Krzysztof,,1997,10,23,05:36,:49,2
Audio ,144193,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Paraguay,Alto Paraguay,,-20.6666667,-59.8333333,,Robbins,Mark,B,1995,10,29,18:00,1:47,3
Audio ,144153,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,Y,,,call,,,,,,,Paraguay,Alto Paraguay,,-20.4333333,-60.3166667,,Robbins,Mark,B,1995,10,23,06:30,1:26,3
Audio ,144595,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Guyana,,,7.3666667,-60.4833333,,Robbins,Mark,B,1997,9,15,06:00,1:49,2
Audio ,144558,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Guyana,,,4.3333333,-58.85,,Robbins,Mark,B,1997,3,19,06:00,1:46,2
Audio ,143501,Taraba major , Great Antshrike,Y,,Y,,Y,,,call,,,,,,,Paraguay,Alto Paraguay,,-20.6666667,-59.8333333,,Zyskowski,Krzysztof,,1995,10,30,06:58,:37,3
Audio ,143489,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Paraguay,Alto Paraguay,,-20.6666667,-59.8333333,,Zyskowski,Krzysztof,,1995,10,26,08:10,2:01,3
Audio ,143477,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,counter singing;song,,,,,,,Paraguay,Alto Paraguay,,-20.4333333,-60.3166667,,Zyskowski,Krzysztof,,1995,10,22,0720,1:36,4
Audio ,102408,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,,,,,,,,,,Venezuela,,,7.3333333,-64.9166667,,Macaulay,Linda,R,1995,1,27,18:00,2:06,3
Audio ,101752,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Bolivia,El Beni,,-14.78,-64.95,,Hennessey,A. Bennett,,1998,6,19,16:20,1:45,3
Audio ,98694,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,2.9937833,-58.90995,,Finch,Davis,W,1998,11,8,16:19,2:13,2
Audio ,98692,Cercomacra tyrannina , Dusky Antbird,,Y,Y,,Y,,,call,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,2.9937833,-58.90995,,Finch,Davis,W,1998,11,8,11:00,:40,1
Audio ,98681,Taraba major , Great Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,2.9476667,-58.9665333,,Finch,Davis,W,1998,11,6,09:21,3:34,2
Audio ,98676,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,,,call,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,2.9507167,-59.05445,,Finch,Davis,W,1998,11,4,11:00,1:10,2
Audio ,90672,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,3.3,-59.5,,Kerr,Donald,J,1994,12,8,06:00,2:38,3
Audio ,90668,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,3.3,-59.5,,Kerr,Donald,J,1994,12,7,18:00,1:00,2
Audio ,90650,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,2.9,-59.5,,Kerr,Donald,J,1994,12,5,10:40,2:16,3
Audio ,90644,Thamnophilus doliatus , Barred Antshrike,,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,2.9,-59.5,,Kerr,Donald,J,1994,12,5,06:48,2:02,3
Audio ,90641,Thamnophilus doliatus , Barred Antshrike,,,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,2.9,-59.5,,Kerr,Donald,J,1994,12,5,05:45,:59,3
Audio ,90043,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Ecuador,Loja,,-3.5,-80.45,,Sterling,John,,1993,1,28,17:50,1:30,2
Audio ,90420,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Ecuador,Pichincha,,-0.03,-78.8,,Kerr,Donald,J,1996,3,13,07:30,2:06,2
Audio ,90192,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Bolivia,Santa Cruz,,-17.85,-60.17,,Cox,Guy,,1992,10,4,00:00,:36,3
Audio ,87566,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Guyana,Essequibo Islands-West Demerara,,,,,Finch,Davis,W,1993,1,30,06:30,3:55,3
Audio ,73485,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Costa Rica,Puntarenas,,,,,Ross,"David L., Jr.",,1988,1,25,00:00,3:18,2
Audio ,76675,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,duet;song,,,,,,,Costa Rica,Puntarenas,,,,,Marantz,Curtis,A,1991,4,7,05:50,:23,3
Audio ,73420,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Costa Rica,Guanacaste,,,,,Ross,"David L., Jr.",,1988,1,7,00:00,2:08,3
Audio ,76670,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Costa Rica,Puntarenas,,,,,Marantz,Curtis,A,1991,4,7,05:34,1:43,3
Audio ,76608,Taraba major , Great Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Costa Rica,Heredia,,,,,Marantz,Curtis,A,1991,4,1,05:54,2:33,2
Audio ,57357,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Costa Rica,Puntarenas,,,,,Ross,"David L., Jr.",,1988,12,30,08:00,12:42,4
Audio ,72447,Taraba major , Great Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Finch,Davis,W,1995,4,30,07:45,1:25,2
Audio ,73238,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Costa Rica,Guanacaste,,,,,Ross,"David L., Jr.",,1991,2,14,08:30,2:06,3
Audio ,57497,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Costa Rica,Heredia,,,,,Ross,"David L., Jr.",,1991,2,25,07:11,1:26,2
Audio ,45889,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Belize,Cayo,,,,,Plymire,Margery,R,,,,00:00,2:28,3
Audio ,45812,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Belize,Belize,,,,,Plymire,Margery,R,,,,00:00,1:22,2
Audio ,31057,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Suriname,,,,,,Davis,Thomas,H,1982,11,5,17:05,2:05,3
Audio ,34859,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Brazil,Mato Grosso,,,,,Bierregaard,Richard,O,1985,7,13,15:00,1:35,1
Audio ,31211,Taraba major , Great Antshrike,Y,,Y,,Y,,,call,,,,,,,Panama,Darién,,,,,Davis,Thomas,H,1983,3,10,17:55,1:42,3
Audio ,41061,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Brazil,Amazonas,,-1.9833333,-59.5,,Bierregaard,Richard,O,1987,11,29,06:00,6:38,3
Audio ,31185,Taraba major , Great Antshrike,Y,,Y,,Y,,,call,,,,,,,Panama,Darién,,,,,Davis,Thomas,H,1983,3,9,07:10,2:48,3
Audio ,41011,Cercomacra tyrannina , Dusky Antbird,,,,,Y,,,call,,,,,,,Brazil,Amazonas,,-1.9833333,-59.5,,Bierregaard,Richard,O,1987,11,27,08:12,2:29,2
Audio ,31126,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,Y,,,call,,,,,,,Panama,Panamá,,,,,Davis,Thomas,H,1983,3,2,18:40,:57,3
Audio ,31113,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,Y,,,call,,,,,,,Panama,Panamá,,,,,Davis,Thomas,H,1983,2,28,09:55,1:07,3
Audio ,182517,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Suriname,Brokopondo,,5.0166667,-55.5666667,,Davis,Thomas,,1978,3,11,,:20,2
Audio ,179759,Thamnophilus doliatus , Barred Antshrike,,Y,Y,,,Y,,song,,,,,,,Bolivia,Santa Cruz,,-18.18,-63.642,,Brady,Matthew,,2013,7,26,0820,3:51,2
Audio ,182565,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Suriname,Sipaliwini,,3.9868301,-56.1071777,,Davis,Thomas,,1979,2,2,935,:50,3
Audio ,182499,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Suriname,Brokopondo,,5.0166667,-55.5666667,,Davis,Thomas,,1978,3,7,,:28,2
Audio ,177025,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Argentina,Corrientes,,-28.016601,-58.037274,,Areta,Juan,I,2005,10,12,7:20,3:33,3
Audio ,168044,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Bolivia,Santa Cruz,,-17.9175,-63.1711111,,Vidoz,Julian Quillen,,2009,6,27,,3:26,2
Audio ,168057,Taraba major , Great Antshrike,Y,,,,,,,,,,,,,,Bolivia,Santa Cruz,,-17.8791667,-63.2816667,,Vidoz,Julian Quillen,,2009,7,17,,1:43,2
Audio ,46943,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,1:58,3
Audio ,46941,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,4:35,4
Audio ,168179,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Bolivia,Santa Cruz,,-17.4275,64.1308333,,Vidoz,Julian Quillen,,2010,7,22,,1:17,2
Audio ,46931,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,1:18,4
Audio ,46895,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,,,,,,Bierregaard,Richard,,,,,0730,1:43,3
Audio ,46847,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,,,,,,,,,,,,,,,,Bierregaard,Richard,,,,,1445,7:36,4
Audio ,46852,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,,,,,,,Bierregaard,Richard,,,,,,2:18,4
Audio ,46853,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,,,,,,,,,,,,,,,,Bierregaard,Richard,,,,,1430,3:11,4
Audio ,46855,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,,,,,,,,,,,,,,,,Bierregaard,Richard,,,,,,1:19,3
Audio ,46859,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,,,,,,,Bierregaard,Richard,,,,,,1:14,5
Audio ,46864,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,,,,,,,,,,,,,,,,Bierregaard,Richard,,,,,1235,3:50,5
Audio ,46865,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,,,,,,,Bierregaard,Richard,,,,,,4:24,4
Audio ,46893,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,,,,,,Bierregaard,Richard,,,,,0718,3:15,4
Audio ,46965,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,4:05,3
Audio ,46994,Thamnophilus doliatus , Barred Antshrike,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,:09,2
Audio ,47010,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,:53,3
Audio ,46988,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,3:00,3
Audio ,46991,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,,,,Bierregaard,Richard,,,,,,1:29,3
Audio ,169840,Thamnophilus doliatus capistratus , Barred Antshrike (Caatinga),Y,Y,Y,,,,,,,,,,,,Brazil,Bahia,,-12.9333333,-41.65,,Macaulay,Linda,,2012,4,15,,4:42,2
Audio ,171394,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Venezuela,Guárico,,8.5718552,-67.5822258,,McGowan,Jay,,2012,12,27,0629,5:41,3
Audio ,178107,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,song,,,,,,,Venezuela,,,,,,Areta,Juan,,2006,11,21,,3:14,2
Audio ,177559,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Argentina,Entre Ríos,,-32.15,-60.6333333,,Jordan,Emilio,,2013,2,7,0643,1:24,2
Audio ,177558,Taraba major , Great Antshrike,,,,,Y,Y,,call;song,,,,,,,Argentina,Entre Ríos,,-32.15,-60.6333333,,Jordan,Emilio,,2013,2,7,0640,1:35,2
Audio ,185748,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Costa Rica,Heredia,,10.422,-84.015,,Zyskowski,Krzysztof,,2001,3,19,650,:51,3
Audio ,184128,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,Aggression/defense;advertise;song,,,,,,,Costa Rica,Heredia,,10.4333333,-83.9833333,,Marantz,Curtis,,1995,4,10,0612,1:31,2
Audio ,184339,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,counter singing;song,,,,,,,Mexico,Veracruz,,,,,Gulson,Eric,,2013,7,26,0913,1:14,3
Audio ,184120,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,advertise;song,,,,,,,Costa Rica,Heredia,,10.4333333,-83.9833333,,Marantz,Curtis,,1995,4,9,0710,1:23,3
Audio ,184824,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,advertise;song,,,,,,,Mexico,Tamaulipas,,23.1275,-99.1385,,Donahue,Paul,,1994,5,8,1623,1:51,2
Audio ,184893,Thamnophilus doliatus , Barred Antshrike,,,,,Y,,,call,,,,,,,Paraguay,Canindeyú,,-24.1680556,-55.55,,Donahue,Paul,,1995,4,19,1455,:09,1
Audio ,182576,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Suriname,Sipaliwini,,3.9868301,-56.1071777,,Davis,Thomas,,1979,2,5,715,1:12,2
Audio ,184130,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,Y,Y,,advertise;call;song,,,,,,,Costa Rica,Heredia,,10.4333333,-83.9833333,,Marantz,Curtis,,1995,4,10,0624,2:21,2
Audio ,184157,Cercomacra tyrannina , Dusky Antbird,,,Y,,,Y,,advertise;song,,,,,,,Costa Rica,Heredia,,10.4333333,-83.9833333,,Marantz,Curtis,,1995,4,12,0834,2:04,2
Audio ,184788,Cercomacra tyrannina , Dusky Antbird,,,,,Y,Y,,call;song;subsong,,,,,,,Costa Rica,Heredia,,10.4288,-84.0128,,Ross,"David L., Jr.",,1996,5,23,1005,3:42,3
Audio ,184843,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,advertise;song,,,,,,,Paraguay,Central,,-25.295278,-57.414722,,Donahue,Paul,,1995,2,23,1136,1:03,2
Audio ,184161,Taraba major , Great Antshrike,,,Y,,,Y,,advertise;forage;song,,,,,,,Costa Rica,Heredia,,10.4333333,-83.9833333,,Marantz,Curtis,,1995,4,12,0929,2:22,2
Audio ,178416,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Venezuela,Bolívar,,7.061,-61.47512,,McGowan,Jay,W,2013,12,19,0913,2:51,3
Audio ,187941,Taraba major , Great Antshrike,,,Y,,Y,,,call,,,,,,,Peru,Madre de Dios,,-12.121403,-71.089097,,Donahue,Paul,K,1991,8,14,703,4:00,4
Audio ,185716,Thamnophilus doliatus intermedius,,Y,Y,Y,,Y,Y,,call;song,,,,,,,El Salvador,Morazán,,13.762,-88.2,,Zyskowski,Krzysztof,,2001,7,10,710,1:08,3
Audio ,178426,Cercomacra tyrannina , Dusky Antbird,Y,,Y,,,Y,,song,,,,,,,Venezuela,Bolívar,,7.061,-61.47512,,McGowan,Jay,W,2013,12,19,0911,:40,2
